# Program:featureCounts v2.1.1; Command:"featureCounts" "-a" "analyses/03_annotation/prokka/pacbio_prokka/E745.gff" "-o" "analyses/06_read_counting/featurecounts/gene_counts.txt" "-T" "4" "-p" "-t" "CDS" "-g" "ID" "analyses/05_mapping/bowtie2/bam/ERR1797969.subsampled.sorted.bam" "analyses/05_mapping/bowtie2/bam/ERR1797970.subsampled.sorted.bam" "analyses/05_mapping/bowtie2/bam/ERR1797971.subsampled.sorted.bam" "analyses/05_mapping/bowtie2/bam/ERR1797972.subsampled.sorted.bam" "analyses/05_mapping/bowtie2/bam/ERR1797973.subsampled.sorted.bam" "analyses/05_mapping/bowtie2/bam/ERR1797974.subsampled.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	analyses/05_mapping/bowtie2/bam/ERR1797969.subsampled.sorted.bam	analyses/05_mapping/bowtie2/bam/ERR1797970.subsampled.sorted.bam	analyses/05_mapping/bowtie2/bam/ERR1797971.subsampled.sorted.bam	analyses/05_mapping/bowtie2/bam/ERR1797972.subsampled.sorted.bam	analyses/05_mapping/bowtie2/bam/ERR1797973.subsampled.sorted.bam	analyses/05_mapping/bowtie2/bam/ERR1797974.subsampled.sorted.bam
E745_00043	CP014529.1	47684	49246	+	1563	591	651	483	761	609	570
E745_00044	CP014529.1	49239	50372	+	1134	290	323	310	434	291	307
E745_00045	CP014529.1	50372	51328	+	957	181	201	189	368	241	280
E745_00046	CP014529.1	51427	52593	+	1167	225	247	227	346	358	335
E745_00047	CP014529.1	52617	53435	+	819	231	214	187	270	244	264
E745_00048	CP014529.1	53452	54159	+	708	281	279	217	268	204	217
E745_00049	CP014529.1	54457	55143	-	687	625	780	701	2303	2397	2116
E745_00050	CP014529.1	55315	55896	-	582	156	172	156	294	292	244
E745_00051	CP014529.1	56029	56712	-	684	43	69	57	116	82	84
E745_00052	CP014529.1	57031	57444	+	414	260	346	292	1866	1708	1870
E745_00053	CP014529.1	57528	57998	+	471	419	384	449	2025	1845	1877
E745_00054	CP014529.1	58092	60179	+	2088	1287	1357	1300	5946	5019	5095
E745_00055	CP014529.1	60351	61538	+	1188	3055	3405	3504	12603	11617	10639
E745_00056	CP014529.1	61944	62252	+	309	40	78	63	607	481	505
E745_00057	CP014529.1	62283	62912	+	630	299	341	346	2094	1548	1468
E745_00058	CP014529.1	62940	63563	+	624	220	202	206	1121	1148	1088
E745_00059	CP014529.1	63563	63853	+	291	152	129	138	704	707	674
E745_00060	CP014529.1	63892	64725	+	834	293	326	325	1800	1758	1650
E745_00061	CP014529.1	64768	65046	+	279	110	134	145	1406	1157	1098
E745_00062	CP014529.1	65069	65416	+	348	184	209	177	1294	1141	1150
E745_00063	CP014529.1	65430	66086	+	657	432	429	433	3143	2467	2496
E745_00064	CP014529.1	66089	66523	+	435	171	182	197	1381	1175	1029
E745_00065	CP014529.1	66513	66701	+	189	121	112	111	678	786	740
E745_00066	CP014529.1	66726	66992	+	267	286	319	288	1948	2060	1810
E745_00067	CP014529.1	67050	67418	+	369	143	149	163	1280	1185	1159
E745_00068	CP014529.1	67455	67763	+	309	231	312	293	2152	1945	1842
E745_00069	CP014529.1	67791	68330	+	540	135	185	164	1390	1160	1190
E745_00070	CP014529.1	68349	68534	+	186	124	146	157	1244	1082	993
E745_00071	CP014529.1	68570	68968	+	399	164	179	142	1200	1157	1190
E745_00072	CP014529.1	69000	69536	+	537	247	269	276	1642	1487	1483
E745_00073	CP014529.1	69697	70053	+	357	231	276	261	2191	1833	1764
E745_00074	CP014529.1	70074	70574	+	501	344	316	353	2809	2271	2110
E745_00075	CP014529.1	70589	70768	+	180	80	117	91	835	673	713
E745_00076	CP014529.1	70812	71252	+	441	193	249	189	2050	1512	1597
E745_00077	CP014529.1	71252	72547	+	1296	660	657	678	6185	5246	4971
E745_00078	CP014529.1	72609	73256	+	648	184	225	231	2066	1891	1851
E745_00079	CP014529.1	73447	73665	+	219	134	136	136	960	784	753
E745_00080	CP014529.1	73698	73814	+	117	104	144	134	953	1051	849
E745_00081	CP014529.1	73832	74197	+	366	160	190	174	1016	1000	923
E745_00082	CP014529.1	74225	74614	+	390	175	213	150	1334	1253	1154
E745_00083	CP014529.1	74694	75632	+	939	516	529	468	3808	2763	2961
E745_00084	CP014529.1	75660	76040	+	381	486	510	482	2999	2811	2612
E745_00085	CP014529.1	76312	77151	+	840	82	98	111	123	75	104
E745_00086	CP014529.1	77127	77996	+	870	140	126	124	148	129	139
E745_00087	CP014529.1	77986	78783	+	798	51	55	51	38	46	43
E745_00088	CP014529.1	78986	79732	+	747	24	11	16	60	50	51
E745_00089	CP014529.1	80691	81497	-	807	16	32	24	60	55	46
E745_00090	CP014529.1	81620	81988	+	369	3	4	8	5	1	10
E745_00091	CP014529.1	82085	83257	+	1173	22	16	20	27	12	37
E745_00092	CP014529.1	83676	84854	+	1179	0	12	15	3	9	5
E745_00093	CP014529.1	85086	85424	-	339	27	33	16	1	4	0
E745_00094	CP014529.1	85421	85969	-	549	26	27	38	0	2	6
E745_00095	CP014529.1	86072	86731	+	660	0	0	0	6	4	8
E745_00096	CP014529.1	86800	87708	+	909	6	2	2	5	6	10
E745_00097	CP014529.1	87831	90500	-	2670	144	164	136	153	137	134
E745_00098	CP014529.1	90738	90926	-	189	160	170	147	316	344	358
E745_00099	CP014529.1	91196	91558	+	363	75	62	59	80	78	80
E745_00100	CP014529.1	91610	93292	+	1683	1010	1127	1151	1623	1364	1377
E745_00101	CP014529.1	93409	95445	+	2037	153	177	183	249	203	193
E745_00102	CP014529.1	95494	96495	+	1002	181	201	232	437	347	271
E745_00103	CP014529.1	96617	96859	+	243	85	114	119	305	280	286
E745_00104	CP014529.1	97238	98425	-	1188	31	42	45	26	21	23
E745_00105	CP014529.1	98747	99751	+	1005	200	238	188	77	64	78
E745_00106	CP014529.1	99752	100696	+	945	230	210	217	122	122	126
E745_00107	CP014529.1	100696	101658	+	963	90	117	103	78	69	62
E745_00108	CP014529.1	101685	102599	+	915	109	148	156	86	71	60
E745_00109	CP014529.1	102625	104406	+	1782	1504	1721	1697	561	463	471
E745_00110	CP014529.1	104754	105440	+	687	64	81	70	110	105	100
E745_00111	CP014529.1	105460	109041	+	3582	553	537	549	627	512	580
E745_00112	CP014529.1	109050	109859	+	810	53	44	54	102	107	83
E745_00113	CP014529.1	109871	110869	+	999	118	124	112	201	153	140
E745_00114	CP014529.1	111055	113322	+	2268	202	192	174	256	241	196
E745_00115	CP014529.1	113410	113862	-	453	50	74	71	16	34	18
E745_00116	CP014529.1	114012	114962	+	951	177	149	159	6	10	0
E745_00117	CP014529.1	114955	115914	+	960	278	276	309	6	6	6
E745_00118	CP014529.1	115911	116666	+	756	183	186	244	6	8	6
E745_00119	CP014529.1	116689	117642	+	954	620	603	618	3	14	10
E745_00120	CP014529.1	117779	117886	-	108	0	0	0	0	3	2
E745_00121	CP014529.1	118308	119261	-	954	18	13	20	16	10	8
E745_00122	CP014529.1	119340	119528	-	189	0	0	0	2	0	2
E745_00123	CP014529.1	119730	120902	+	1173	22	12	28	22	21	18
E745_00124	CP014529.1	121216	121572	+	357	150	154	151	105	122	90
E745_00125	CP014529.1	121582	122481	+	900	110	121	115	72	57	40
E745_00126	CP014529.1	122711	123607	-	897	10	5	2	7	16	10
E745_00127	CP014529.1	124035	124763	+	729	0	0	0	6	0	2
E745_00128	CP014529.1	124908	126587	+	1680	0	2	2	2	4	14
E745_00129	CP014529.1	126672	127631	+	960	6	8	6	4	2	10
E745_00130	CP014529.1	127699	128433	-	735	97	106	110	602	517	509
E745_00131	CP014529.1	128759	129169	+	411	10	8	8	14	12	18
E745_00132	CP014529.1	129162	129863	+	702	10	9	10	10	22	22
E745_00133	CP014529.1	129863	131446	+	1584	40	40	36	68	77	44
E745_00134	CP014529.1	131465	131686	+	222	9	3	0	8	9	9
E745_00135	CP014529.1	131683	132444	+	762	41	53	45	102	59	61
E745_00136	CP014529.1	132824	133333	+	510	61	58	89	43	30	30
E745_00137	CP014529.1	133408	133947	-	540	954	955	912	30	26	14
E745_00138	CP014529.1	134087	134698	-	612	229	286	229	1817	1731	1782
E745_00139	CP014529.1	134978	135811	+	834	10	8	12	40	18	39
E745_00140	CP014529.1	135839	136474	+	636	21	23	24	65	58	39
E745_00141	CP014529.1	136494	137267	+	774	42	36	43	91	81	70
E745_00142	CP014529.1	137675	138472	+	798	20	14	16	56	39	41
E745_00143	CP014529.1	138489	138863	+	375	6	14	22	11	13	19
E745_00144	CP014529.1	138847	141492	+	2646	128	113	134	267	276	264
E745_00145	CP014529.1	141510	143618	+	2109	144	123	131	258	222	217
E745_00146	CP014529.1	143640	144200	+	561	24	32	51	126	114	52
E745_00147	CP014529.1	144285	146273	-	1989	14	12	14	82	104	92
E745_00148	CP014529.1	146496	147209	+	714	22	27	30	76	57	74
E745_00149	CP014529.1	147286	147732	+	447	82	78	93	36	42	41
E745_00150	CP014529.1	147902	148504	+	603	67	75	58	129	117	109
E745_00151	CP014529.1	148517	149518	+	1002	121	108	122	212	146	188
E745_00152	CP014529.1	149547	150125	+	579	56	63	49	88	63	54
E745_00153	CP014529.1	150177	150659	+	483	146	165	139	206	199	178
E745_00154	CP014529.1	150776	151150	+	375	433	463	492	296	216	154
E745_00155	CP014529.1	151534	152487	-	954	7	20	6	15	9	4
E745_00156	CP014529.1	152830	154182	-	1353	462	512	483	104	101	99
E745_00157	CP014529.1	154329	154919	+	591	65	84	79	46	35	48
E745_00158	CP014529.1	155047	156396	-	1350	60	47	63	50	48	48
E745_00159	CP014529.1	156564	157304	-	741	196	171	190	131	159	123
E745_00160	CP014529.1	157317	158909	-	1593	263	274	247	292	254	232
E745_00161	CP014529.1	158948	159139	-	192	81	90	75	47	59	54
E745_00162	CP014529.1	159477	159773	-	297	20	25	16	36	30	34
E745_00163	CP014529.1	159949	160674	+	726	20	19	16	46	32	26
E745_00164	CP014529.1	160667	161509	+	843	57	47	59	78	60	46
E745_00165	CP014529.1	161512	162033	+	522	69	78	75	65	58	44
E745_00166	CP014529.1	162276	162839	-	564	22	24	16	54	68	54
E745_00167	CP014529.1	163090	163359	+	270	426	479	466	1292	1126	879
E745_00168	CP014529.1	163547	165673	+	2127	689	715	672	723	653	600
E745_00169	CP014529.1	166183	166449	+	267	4	6	4	0	4	6
E745_00170	CP014529.1	166593	168584	+	1992	197	224	212	250	209	211
E745_00171	CP014529.1	168938	170239	+	1302	32	28	35	38	32	36
E745_00172	CP014529.1	170369	171739	-	1371	146	156	136	86	96	94
E745_00173	CP014529.1	171921	172244	-	324	132	125	163	44	63	39
E745_00174	CP014529.1	172570	173178	-	609	255	269	281	60	66	70
E745_00175	CP014529.1	173508	174224	+	717	90	76	70	109	104	70
E745_00176	CP014529.1	174237	174932	+	696	38	32	42	56	45	30
E745_00177	CP014529.1	175016	175645	+	630	60	54	55	151	143	156
E745_00178	CP014529.1	176159	176695	+	537	2	2	0	2	4	3
E745_00179	CP014529.1	176692	177498	+	807	0	0	2	18	4	7
E745_00180	CP014529.1	177567	178169	+	603	4	2	8	26	10	36
E745_00181	CP014529.1	178191	178679	+	489	13	26	22	36	32	34
E745_00182	CP014529.1	179003	180376	+	1374	18	30	8	42	50	40
E745_00183	CP014529.1	180360	180827	+	468	7	14	9	18	16	17
E745_00184	CP014529.1	181076	182821	-	1746	46	47	45	20	26	14
E745_00185	CP014529.1	183017	184093	+	1077	86	97	120	372	289	264
E745_00186	CP014529.1	184186	185598	+	1413	44	68	54	224	194	171
E745_00187	CP014529.1	185920	187431	+	1512	166	226	206	1114	1068	929
E745_00188	CP014529.1	187561	187911	+	351	33	13	28	16	16	24
E745_00189	CP014529.1	187927	189048	+	1122	139	111	105	114	70	103
E745_00190	CP014529.1	189059	189421	+	363	27	36	36	20	22	25
E745_00191	CP014529.1	189597	189866	-	270	20	34	10	6	2	6
E745_00192	CP014529.1	190056	191003	+	948	104	102	83	28	52	20
E745_00193	CP014529.1	191309	194014	+	2706	149	207	173	268	250	227
E745_00194	CP014529.1	194610	196433	+	1824	50	24	36	256	171	140
E745_00195	CP014529.1	197235	197498	+	264	28	25	21	12	14	18
E745_00196	CP014529.1	197498	197764	+	267	62	44	46	36	39	20
E745_00197	CP014529.1	197965	198453	+	489	0	0	0	0	0	2
E745_00198	CP014529.1	198652	198750	+	99	3	0	0	0	2	1
E745_00199	CP014529.1	198995	199666	-	672	4	5	2	4	8	10
E745_00200	CP014529.1	199663	200580	-	918	30	15	25	17	23	10
E745_00201	CP014529.1	200577	201218	-	642	14	5	4	9	4	0
E745_00202	CP014529.1	201222	202397	-	1176	60	46	68	30	30	22
E745_00203	CP014529.1	202590	203621	+	1032	186	208	185	462	428	371
E745_00204	CP014529.1	204240	204548	+	309	12	2	4	4	12	12
E745_00205	CP014529.1	204588	206879	+	2292	105	116	123	89	139	135
E745_00206	CP014529.1	207047	207745	-	699	386	376	450	220	233	221
E745_00207	CP014529.1	207962	209107	+	1146	20	16	24	68	62	65
E745_00208	CP014529.1	209204	209584	+	381	254	257	298	426	372	397
E745_00209	CP014529.1	209924	211243	-	1320	25	2	14	6	14	10
E745_00210	CP014529.1	211572	214169	+	2598	3050	3440	3400	124	124	114
E745_00211	CP014529.1	214523	215476	+	954	9	19	14	5	16	8
E745_00212	CP014529.1	215400	215588	-	189	17	23	32	26	41	27
E745_00213	CP014529.1	215741	217201	+	1461	0	4	2	0	8	2
E745_00214	CP014529.1	217198	218454	+	1257	2	2	2	0	0	0
E745_00215	CP014529.1	218468	219313	+	846	0	2	0	0	2	0
E745_00216	CP014529.1	219315	219626	+	312	0	0	2	0	0	0
E745_00217	CP014529.1	219708	220859	+	1152	0	4	0	0	0	0
E745_00218	CP014529.1	220986	221744	+	759	6	16	10	14	6	16
E745_00219	CP014529.1	221844	222488	+	645	40	52	56	22	10	17
E745_00220	CP014529.1	222495	223502	+	1008	16	34	29	23	16	16
E745_00221	CP014529.1	223518	224360	+	843	32	18	18	18	23	14
E745_00222	CP014529.1	224377	224511	+	135	0	0	0	2	2	0
E745_00223	CP014529.1	224508	225182	+	675	12	10	4	23	28	19
E745_00224	CP014529.1	225431	226495	-	1065	70	84	102	201	192	199
E745_00225	CP014529.1	226492	227577	-	1086	42	49	34	147	131	124
E745_00226	CP014529.1	227590	228567	-	978	18	12	24	61	70	59
E745_00227	CP014529.1	228560	229504	-	945	6	17	11	85	95	67
E745_00228	CP014529.1	229826	230479	+	654	20	20	10	89	78	58
E745_00229	CP014529.1	230564	231469	+	906	17	18	20	32	38	34
E745_00230	CP014529.1	231471	232103	-	633	10	7	13	16	18	14
E745_00231	CP014529.1	232423	232947	+	525	597	611	629	2427	2164	2194
E745_00232	CP014529.1	233019	233219	+	201	94	91	139	652	476	533
E745_00233	CP014529.1	233272	233631	+	360	104	108	148	632	635	558
E745_00234	CP014529.1	233883	235220	+	1338	0	0	0	6	0	2
E745_00235	CP014529.1	235268	237397	+	2130	6	1	7	6	4	4
E745_00236	CP014529.1	237372	238061	+	690	0	0	0	2	0	2
E745_00237	CP014529.1	238372	239058	-	687	12	14	14	12	10	20
E745_00238	CP014529.1	239194	239361	-	168	64	63	56	2	2	2
E745_00239	CP014529.1	239438	239878	-	441	31	24	16	12	8	8
E745_00240	CP014529.1	239882	240727	-	846	45	39	22	34	22	10
E745_00241	CP014529.1	240876	242294	+	1419	674	720	578	623	459	457
E745_00242	CP014529.1	242351	242641	-	291	4	0	0	0	0	0
E745_00243	CP014529.1	242764	243081	+	318	4	2	4	2	2	0
E745_00244	CP014529.1	243157	244113	-	957	72	97	64	120	106	161
E745_00245	CP014529.1	244285	244638	-	354	16	17	8	16	16	9
E745_00246	CP014529.1	244837	245916	+	1080	254	252	251	136	142	145
E745_00247	CP014529.1	246208	246528	+	321	107	123	125	68	49	56
E745_00248	CP014529.1	246558	247025	+	468	282	260	255	92	123	84
E745_00249	CP014529.1	247335	247940	+	606	106	92	87	313	272	268
E745_00250	CP014529.1	247998	249281	-	1284	220	258	246	343	232	246
E745_00251	CP014529.1	249734	250213	+	480	2	7	18	16	28	22
E745_00252	CP014529.1	250588	251424	-	837	4	3	9	3	4	5
E745_00253	CP014529.1	251460	251750	-	291	2	0	5	4	4	0
E745_00254	CP014529.1	251961	253091	+	1131	42	46	27	38	52	56
E745_00255	CP014529.1	253259	254167	+	909	7	11	9	9	14	6
E745_00256	CP014529.1	254254	255108	+	855	47	66	54	85	81	77
E745_00257	CP014529.1	255205	257454	+	2250	6	8	12	10	18	8
E745_00258	CP014529.1	257457	258629	+	1173	2	6	8	6	11	4
E745_00259	CP014529.1	258807	260126	+	1320	20	22	14	22	12	18
E745_00260	CP014529.1	260531	260890	+	360	2	0	1	4	4	6
E745_00261	CP014529.1	260869	261708	+	840	7	1	1	10	10	6
E745_00262	CP014529.1	261897	262205	+	309	0	0	0	0	0	0
E745_00263	CP014529.1	262232	262531	+	300	0	0	0	0	0	0
E745_00264	CP014529.1	262705	263256	+	552	0	0	0	0	0	0
E745_00265	CP014529.1	263563	264882	-	1320	10	25	12	6	8	11
E745_00266	CP014529.1	265086	265379	+	294	2	0	2	0	0	0
E745_00267	CP014529.1	265372	265668	+	297	5	3	4	3	4	4
E745_00268	CP014529.1	265743	266633	+	891	47	57	38	58	52	42
E745_00269	CP014529.1	267253	268302	+	1050	42	34	42	82	72	40
E745_00270	CP014529.1	268450	270096	+	1647	0	2	4	6	2	6
E745_00271	CP014529.1	270275	270514	+	240	0	0	0	2	3	0
E745_00272	CP014529.1	270530	271903	+	1374	0	4	0	6	8	4
E745_00273	CP014529.1	271907	273544	+	1638	14	10	11	15	10	6
E745_00274	CP014529.1	273787	274875	+	1089	85	76	80	134	90	94
E745_00275	CP014529.1	275124	276077	+	954	69	69	80	44	36	48
E745_00276	CP014529.1	276113	276370	+	258	12	14	4	12	16	12
E745_00277	CP014529.1	276603	277007	+	405	3	12	5	24	16	7
E745_00278	CP014529.1	277026	279683	+	2658	144	152	147	160	176	155
E745_00279	CP014529.1	279755	280231	+	477	2	0	8	0	10	0
E745_00280	CP014529.1	280245	281033	+	789	2	0	2	2	4	2
E745_00281	CP014529.1	281035	281832	+	798	2	4	2	4	2	2
E745_00282	CP014529.1	281851	282246	+	396	8	0	6	4	2	6
E745_00283	CP014529.1	282248	283369	+	1122	8	2	14	14	16	4
E745_00284	CP014529.1	283389	284258	+	870	4	8	4	10	4	6
E745_00285	CP014529.1	284577	284738	+	162	0	1	1	0	0	0
E745_00286	CP014529.1	284821	285774	+	954	9	18	13	11	8	6
E745_00287	CP014529.1	285870	286382	+	513	16	21	20	13	7	20
E745_00288	CP014529.1	286421	286813	+	393	20	9	20	13	10	8
E745_00289	CP014529.1	286916	287917	-	1002	2	6	15	26	9	14
E745_00290	CP014529.1	288151	289392	+	1242	78	76	84	52	48	64
E745_00291	CP014529.1	289539	290174	+	636	10	12	15	16	10	12
E745_00292	CP014529.1	290396	292030	+	1635	6	0	0	6	6	4
E745_00293	CP014529.1	292027	292458	+	432	0	0	0	2	2	1
E745_00294	CP014529.1	292471	292719	+	249	0	2	0	0	3	0
E745_00295	CP014529.1	292643	293596	-	954	9	9	6	10	2	0
E745_00296	CP014529.1	293789	294241	+	453	8	6	6	18	14	19
E745_00297	CP014529.1	294254	294775	+	522	3	4	0	20	25	18
E745_00298	CP014529.1	294793	295503	+	711	16	10	17	59	57	43
E745_00299	CP014529.1	295703	296071	+	369	0	0	4	0	0	4
E745_00300	CP014529.1	296091	296315	+	225	2	8	5	4	4	0
E745_00301	CP014529.1	296456	298009	+	1554	34	14	24	66	60	58
E745_00302	CP014529.1	298305	299618	+	1314	18	10	26	128	122	134
E745_00303	CP014529.1	299945	301582	+	1638	8	4	12	12	4	4
E745_00304	CP014529.1	301670	302164	+	495	8	10	8	40	28	16
E745_00305	CP014529.1	302265	303356	+	1092	58	38	43	23	16	9
E745_00306	CP014529.1	303386	304063	+	678	68	64	53	42	30	40
E745_00307	CP014529.1	304406	305701	+	1296	45	46	46	14	20	7
E745_00308	CP014529.1	305691	307151	+	1461	40	21	31	14	2	10
E745_00309	CP014529.1	307287	308783	+	1497	1	5	10	8	6	6
E745_00310	CP014529.1	308797	310620	+	1824	4	2	2	6	4	0
E745_00311	CP014529.1	310621	311337	+	717	0	0	2	0	0	0
E745_00312	CP014529.1	311643	313571	+	1929	34	20	27	63	85	74
E745_00313	CP014529.1	313697	314251	+	555	20	24	18	36	20	17
E745_00314	CP014529.1	314859	315173	-	315	0	2	4	2	0	2
E745_00315	CP014529.1	315187	315447	-	261	12	4	8	8	6	8
E745_00316	CP014529.1	315617	315931	+	315	4	2	2	4	0	2
E745_00317	CP014529.1	315933	317588	+	1656	11	8	5	11	10	9
E745_00318	CP014529.1	317671	319521	+	1851	64	105	69	42	56	50
E745_00319	CP014529.1	319518	319805	+	288	45	38	40	35	13	31
E745_00320	CP014529.1	319980	320327	+	348	18	7	12	8	6	16
E745_00321	CP014529.1	320486	321790	+	1305	44	44	48	26	14	21
E745_00322	CP014529.1	321898	322755	+	858	66	56	70	64	54	47
E745_00323	CP014529.1	322867	323187	-	321	82	76	66	42	27	36
E745_00324	CP014529.1	323340	323735	+	396	27	20	17	24	33	12
E745_00325	CP014529.1	323710	324720	+	1011	45	41	65	27	13	13
E745_00326	CP014529.1	324748	325353	+	606	20	26	30	8	2	4
E745_00327	CP014529.1	325500	326165	+	666	4	0	4	28	14	20
E745_00328	CP014529.1	326448	327107	+	660	12	22	11	1	10	6
E745_00329	CP014529.1	327184	328794	-	1611	22	30	16	25	22	8
E745_00330	CP014529.1	328807	329427	-	621	0	0	0	4	6	6
E745_00331	CP014529.1	329630	330583	+	954	17	21	18	6	6	10
E745_00332	CP014529.1	330507	330755	-	249	0	0	0	0	0	0
E745_00333	CP014529.1	331009	331608	+	600	4	8	8	28	12	19
E745_00334	CP014529.1	331677	332978	-	1302	32	24	42	44	68	63
E745_00335	CP014529.1	333558	334814	+	1257	191	208	154	347	345	325
E745_00336	CP014529.1	335104	336981	+	1878	8	10	7	359	327	316
E745_00337	CP014529.1	337224	338645	+	1422	6	4	4	115	84	113
E745_00338	CP014529.1	338754	339569	+	816	1	2	0	18	16	16
E745_00339	CP014529.1	339607	340122	+	516	0	0	0	8	8	4
E745_00340	CP014529.1	340403	341422	-	1020	12	24	33	86	75	69
E745_00341	CP014529.1	341444	342451	-	1008	10	2	6	25	12	26
E745_00342	CP014529.1	342444	343109	-	666	0	1	4	5	2	0
E745_00343	CP014529.1	343102	345396	-	2295	6	6	7	10	16	12
E745_00344	CP014529.1	345656	347821	+	2166	30	33	14	14	14	10
E745_00345	CP014529.1	348125	348958	+	834	4	4	4	2	2	4
E745_00346	CP014529.1	349061	350722	-	1662	148	154	138	94	118	101
E745_00347	CP014529.1	351599	352918	-	1320	13	8	11	10	14	7
E745_00348	CP014529.1	353143	354111	+	969	17	18	16	24	10	9
E745_00349	CP014529.1	354127	354570	+	444	2	1	4	4	2	6
E745_00350	CP014529.1	355178	355708	-	531	2	4	0	10	6	2
E745_00351	CP014529.1	355813	356364	+	552	39	42	36	10	10	12
E745_00352	CP014529.1	356517	356990	-	474	6	8	12	24	9	14
E745_00353	CP014529.1	357128	358600	+	1473	2	4	0	70	69	70
E745_00354	CP014529.1	358597	359262	+	666	8	7	8	144	91	111
E745_00355	CP014529.1	359659	359943	+	285	6	4	8	2	3	2
E745_00356	CP014529.1	360224	360643	-	420	0	6	0	1	5	6
E745_00357	CP014529.1	360645	361229	-	585	3	2	4	6	8	4
E745_00358	CP014529.1	361276	362751	-	1476	15	8	6	2	8	10
